practitioner_id,npi,first_name,last_name,practice_affiliation,specialty,sub_specialty,data_source,META_data_source,META_Load_DTTM
PR00001,1000000001,Emily,Taylor,Regional Health System,Orthopedics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00002,1000000002,Henry,Jackson,Solo Practice,Urgent Care,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00003,1000000003,Sofia,Thomas,Community Medical Center,Obstetrics,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00004,1000000004,Harper,Garcia,StatCare Network,Cardiology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00005,1000000005,Benjamin,Young,Community Medical Center,Psychiatry,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00006,1000000006,Liam,Taylor,Community Medical Center,Orthopedics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00007,1000000007,Henry,Thomas,Solo Practice,Oncology,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00008,1000000008,Grace,Flores,Solo Practice,Neurology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00009,1000000009,Grace,Johnson,Regional Health System,Orthopedics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00010,1000000010,Sofia,Garcia,Regional Health System,Internal Medicine,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00011,1000000011,Mia,Lewis,Solo Practice,Orthopedics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00012,1000000012,Harper,Garcia,Solo Practice,Orthopedics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00013,1000000013,Charlotte,Walker,Solo Practice,Family Medicine,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00014,1000000014,Amelia,Hernandez,Solo Practice,Obstetrics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00015,1000000015,Abigail,Perez,Regional Health System,Neurology,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00016,1000000016,Olivia,Gonzalez,Solo Practice,Internal Medicine,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00017,1000000017,Benjamin,Thomas,Regional Health System,Internal Medicine,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00018,1000000018,Lucas,Sanchez,ValuMed Group,Psychiatry,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00019,1000000019,Emma,Smith,StatCare Network,Cardiology,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00020,1000000020,Abigail,Ramirez,StatCare Network,Neurology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00021,1000000021,Henry,Taylor,Community Medical Center,Internal Medicine,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00022,1000000022,Liam,Lopez,Community Medical Center,Urgent Care,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00023,1000000023,Abigail,Allen,StatCare Network,Psychiatry,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00024,1000000024,Harper,Miller,Regional Health System,Urgent Care,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00025,1000000025,Scarlett,Brown,StatCare Network,Obstetrics,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00026,1000000026,Ethan,Martin,StatCare Network,Urgent Care,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00027,1000000027,Ethan,Miller,Solo Practice,Dermatology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00028,1000000028,Harper,Scott,StatCare Network,Pediatrics,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00029,1000000029,Avery,Martin,Solo Practice,Dermatology,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00030,1000000030,Elizabeth,Flores,ValuMed Group,Oncology,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00031,1000000031,Jackson,King,Community Medical Center,Obstetrics,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00032,1000000032,Charlotte,Lewis,Community Medical Center,Psychiatry,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00033,1000000033,Daniel,Thompson,Community Medical Center,Orthopedics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00034,1000000034,Sofia,Nguyen,Community Medical Center,Obstetrics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00035,1000000035,Grace,Walker,Community Medical Center,Orthopedics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00036,1000000036,James,Robinson,Community Medical Center,Urgent Care,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00037,1000000037,Grace,Torres,Solo Practice,Cardiology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00038,1000000038,Mia,Lewis,Solo Practice,Pediatrics,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00039,1000000039,Jackson,Lopez,ValuMed Group,Orthopedics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00040,1000000040,Sofia,Perez,Solo Practice,Internal Medicine,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00041,1000000041,Abigail,Torres,Solo Practice,Family Medicine,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00042,1000000042,Jacob,Ramirez,Solo Practice,Cardiology,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00043,1000000043,Jackson,Hernandez,Solo Practice,Family Medicine,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00044,1000000044,Scarlett,White,StatCare Network,Family Medicine,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00045,1000000045,Amelia,Lee,Regional Health System,Oncology,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00046,1000000046,Mia,Hernandez,Regional Health System,Family Medicine,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00047,1000000047,Oliver,Flores,Regional Health System,Internal Medicine,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00048,1000000048,Ethan,Miller,Regional Health System,Psychiatry,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00049,1000000049,Sebastian,Hill,ValuMed Group,Psychiatry,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00050,1000000050,Isabella,Gonzalez,StatCare Network,Urgent Care,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00051,1000000051,Emily,Lopez,StatCare Network,Family Medicine,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00052,1000000052,Olivia,Young,ValuMed Group,Orthopedics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00053,1000000053,Logan,Flores,ValuMed Group,Dermatology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00054,1000000054,Emily,Wright,StatCare Network,Obstetrics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00055,1000000055,Sebastian,Smith,Community Medical Center,Dermatology,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00056,1000000056,Henry,Torres,Community Medical Center,Obstetrics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00057,1000000057,Isabella,Miller,Regional Health System,Family Medicine,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00058,1000000058,Amelia,Rodriguez,Regional Health System,Dermatology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00059,1000000059,Benjamin,Gonzalez,Regional Health System,Pediatrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00060,1000000060,Noah,Allen,Solo Practice,Neurology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00061,1000000061,Daniel,Miller,Community Medical Center,Urgent Care,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00062,1000000062,Amelia,Harris,Regional Health System,Cardiology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
