practitioner_id|npi|entity_type|name_prefix|first_name|middle_name|last_name|name_suffix|credential|specialty|sex|address|city|state|zip_code|latitude|longitude|phone|data_source|META_data_source|META_Load_DTTM
PR00001|1000000001|individual||Emily|Scarlett|Taylor||PA-C|Family Medicine|female|5912 Medical Plaza Dr|CA City|CA|96823|42.291222|-108.969545|(379) 418-4779|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00002|1000000002|individual||Harper||Garcia||NP-C|Psychiatry|female|7788 Medical Plaza Dr|MA City|MA|35067|34.70599|-123.76757|(537) 446-5930|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00003|1000000003|individual||Emma|Grace|King||FNP-C|Oncology|female|9899 Medical Plaza Dr|IL City|IL|63385|46.685962|-67.120741|(237) 226-6225|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00004|1000000004|individual|Dr.|Henry||Walker||DO|Internal Medicine|male|3483 Medical Plaza Dr|TX City|TX|73378|26.164255|-98.294688|(640) 311-5998|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00005|1000000005|individual||Ava||Lee||APRN|Oncology|female|5674 Medical Plaza Dr|IL City|IL|47604|34.534903|-118.681111|(756) 669-5774|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00006|1000000006|individual|Dr.|Daniel|Noah|White||MD|Obstetrics|male|2530 Medical Plaza Dr|WA City|WA|35991|26.903132|-105.732635|(365) 539-6763|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00007|1000000007|individual|Dr.|Ella||Miller||MD|Family Medicine|female|8445 Medical Plaza Dr|MI City|MI|88449|43.430548|-80.494919|(658) 301-8756|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00008|1000000008|individual|Dr.|Benjamin||Miller||DO|Family Medicine|male|9461 Medical Plaza Dr|FL City|FL|64584|38.029906|-73.907476|(917) 861-7248|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00009|1000000009|individual||James|Henry|Jones||FNP-C|Dermatology|male|2899 Medical Plaza Dr|MA City|MA|70666|40.154832|-76.745169|(954) 748-4716|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00010|1000000010|individual||Ava|Grace|Taylor||NP-C|Urgent Care|female|2405 Medical Plaza Dr|VA City|VA|67736|43.985694|-95.347189|(835) 628-5877|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00011|1000000011|individual|Dr.|Grace||Ramirez||DO|Obstetrics|female|9275 Medical Plaza Dr|GA City|GA|42214|33.334166|-107.954425|(725) 916-9938|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00012|1000000012|individual||Daniel|Jackson|Thompson||PA-C|Neurology|male|3692 Medical Plaza Dr|PA City|PA|42511|47.298158|-108.870918|(945) 655-7575|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00013|1000000013|individual||James|Henry|Robinson||RN|Dermatology|male|5009 Medical Plaza Dr|NY City|NY|43026|31.493059|-98.133832|(450) 384-6761|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00014|1000000014|individual||Jackson|Noah|Lopez||PA-C|Psychiatry|male|4360 Medical Plaza Dr|VA City|VA|18701|38.961586|-98.167427|(961) 233-7106|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00015|1000000015|individual||Jacob|Evelyn|Ramirez||NP-C|Oncology|male|5127 Medical Plaza Dr|NC City|NC|17918|46.542763|-69.214514|(629) 250-6865|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00016|1000000016|individual||Amelia||Lee||FNP-C|Internal Medicine|female|2742 Medical Plaza Dr|FL City|FL|10896|44.507169|-111.24878|(986) 327-1901|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00017|1000000017|individual|Dr.|Liam|Sophia|Sanchez||MD|Psychiatry|male|9706 Medical Plaza Dr|FL City|FL|64903|46.457906|-111.97971|(442) 839-9628|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00018|1000000018|individual||Henry||Harris||CNM|Family Medicine|male|1763 Medical Plaza Dr|PA City|PA|81256|36.017989|-93.331572|(716) 994-7244|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00019|1000000019|individual||Ella|Charlotte|Young||CNM|Psychiatry|female|9889 Medical Plaza Dr|MI City|MI|10931|30.560911|-74.8224|(513) 931-3972|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00020|1000000020|individual|Dr.|Michael||Lewis||DO|Internal Medicine|male|9181 Medical Plaza Dr|NY City|NY|45260|26.876196|-69.361742|(331) 459-3834|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00021|1000000021|individual|Dr.|James|William|Martinez||MD|Dermatology|male|291 Medical Plaza Dr|OH City|OH|70305|34.183561|-79.269071|(995) 535-6433|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00022|1000000022|individual|Dr.|Lucas||Taylor||DO|Pediatrics|male|1560 Medical Plaza Dr|AZ City|AZ|58589|32.59355|-90.903937|(439) 507-9405|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00023|1000000023|individual||Alexander|Alexander|Young||CNM|Urgent Care|male|1113 Medical Plaza Dr|WA City|WA|75679|44.389101|-87.913302|(239) 477-5443|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00024|1000000024|individual||Sofia|Abigail|Jones||RN|Psychiatry|female|5443 Medical Plaza Dr|CA City|CA|50216|38.651339|-98.58699|(744) 255-5488|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00025|1000000025|individual||Liam||Miller||APRN|Urgent Care|male|2575 Medical Plaza Dr|MI City|MI|21414|39.649886|-98.755339|(406) 331-8724|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00026|1000000026|individual||Daniel|Grace|Garcia||CNM|Family Medicine|male|8950 Medical Plaza Dr|AZ City|AZ|20723|26.934422|-75.579875|(481) 547-3676|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00027|1000000027|individual||Scarlett||Brown||NP|Obstetrics|female|9112 Medical Plaza Dr|PA City|PA|46472|31.386461|-106.846408|(629) 477-1447|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00028|1000000028|individual|Dr.|Elizabeth|William|Flores||MD|Obstetrics|female|9727 Medical Plaza Dr|CA City|CA|95496|36.194566|-77.606379|(880) 915-4132|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00029|1000000029|individual|Dr.|Emma||Walker||MD|Family Medicine|female|6258 Medical Plaza Dr|NY City|NY|57896|32.922208|-93.947475|(515) 605-4552|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00030|1000000030|individual||James|Amelia|Wright||NP-C|Pediatrics|male|2917 Medical Plaza Dr|NC City|NC|62956|38.811443|-82.905333|(872) 534-8872|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00031|1000000031|individual||Lucas||Nguyen||PA-C|Dermatology|male|1399 Medical Plaza Dr|WA City|WA|22118|38.904907|-67.707507|(524) 949-3154|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00032|1000000032|individual||Elizabeth|Elijah|Lewis||NP-C|Cardiology|female|1671 Medical Plaza Dr|AZ City|AZ|91949|31.796439|-102.504504|(534) 513-3581|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00033|1000000033|individual||Avery||Lee||PA-C|Dermatology|female|1021 Medical Plaza Dr|NC City|NC|39798|32.472758|-110.080592|(290) 763-9413|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00034|1000000034|individual|Dr.|Emma||Davis||MD|Oncology|female|670 Medical Plaza Dr|NC City|NC|70210|42.661134|-104.52881|(590) 480-4634|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00035|1000000035|individual||Jackson||Ramirez||NP|Family Medicine|male|4582 Medical Plaza Dr|AZ City|AZ|98594|43.31194|-72.209608|(366) 842-6581|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00036|1000000036|individual||James|Lucas|Perez||APRN|Neurology|male|9304 Medical Plaza Dr|TX City|TX|10672|47.28789|-104.309161|(984) 242-7019|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00037|1000000037|individual||Avery||Thompson||PA-C|Orthopedics|female|7905 Medical Plaza Dr|NY City|NY|24847|42.094292|-110.227696|(927) 333-6191|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00038|1000000038|individual||Jackson|Ava|Moore||NP-C|Neurology|male|8280 Medical Plaza Dr|OH City|OH|20774|39.440219|-92.702253|(587) 382-5106|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00039|1000000039|individual||James||Gonzalez||NP|Cardiology|male|137 Medical Plaza Dr|OH City|OH|12867|36.533081|-90.307557|(681) 936-3263|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00040|1000000040|individual|Dr.|Ella||Thomas||MD|Orthopedics|female|967 Medical Plaza Dr|PA City|PA|79334|28.932279|-74.626613|(545) 956-1216|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00041|1000000041|individual||Abigail|Lucas|Moore||FNP-C|Obstetrics|female|7693 Medical Plaza Dr|NJ City|NJ|84232|29.114628|-82.502625|(826) 524-9210|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00042|1000000042|individual||Noah||Lewis||APRN|Psychiatry|male|7801 Medical Plaza Dr|IL City|IL|27089|45.994323|-84.248371|(567) 497-2050|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00043|1000000043|individual||Emma|Ethan|King||PA-C|Dermatology|female|3032 Medical Plaza Dr|MI City|MI|61842|31.805947|-89.431515|(426) 213-3365|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00044|1000000044|individual|Dr.|Olivia||Allen||DO|Neurology|female|3092 Medical Plaza Dr|VA City|VA|75975|32.835133|-99.596347|(223) 921-8138|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00045|1000000045|individual||Avery|Mia|Hill||PA-C|Pediatrics|female|814 Medical Plaza Dr|NC City|NC|65228|32.060839|-67.909751|(810) 896-3528|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00046|1000000046|individual||Mia|Jackson|Hill||PA-C|Pediatrics|female|309 Medical Plaza Dr|AZ City|AZ|96628|44.362891|-100.687938|(980) 921-8443|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00047|1000000047|individual||Jackson||Clark||RN|Pediatrics|male|3121 Medical Plaza Dr|WA City|WA|50171|47.523711|-97.016202|(715) 531-1271|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00048|1000000048|individual||William||Harris||CNM|Obstetrics|male|8423 Medical Plaza Dr|MA City|MA|81933|25.946089|-104.016304|(511) 827-2119|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00049|1000000049|individual||Ava||Scott||FNP-C|Obstetrics|female|1579 Medical Plaza Dr|NJ City|NJ|64567|35.535776|-111.623971|(846) 316-7219|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00050|1000000050|individual||James|Liam|Hill||FNP-C|Cardiology|male|5238 Medical Plaza Dr|WA City|WA|75100|47.262188|-109.795868|(998) 205-9945|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00051|1000000051|individual||Mia|Evelyn|Lewis||NP-C|Neurology|female|7104 Medical Plaza Dr|IL City|IL|76962|35.39914|-68.843219|(834) 678-3214|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00052|1000000052|individual||Sofia||Brown||FNP-C|Urgent Care|female|1020 Medical Plaza Dr|TX City|TX|32149|44.895537|-95.680189|(849) 417-3352|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00053|1000000053|individual||Oliver|Emily|King||FNP-C|Family Medicine|male|4537 Medical Plaza Dr|NJ City|NJ|37031|42.348916|-102.409583|(939) 490-6870|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00054|1000000054|individual||William|Jackson|Williams||CNM|Dermatology|male|3400 Medical Plaza Dr|CA City|CA|49217|45.26055|-112.590483|(752) 211-5451|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00055|1000000055|individual||Noah|Emily|Perez||RN|Pediatrics|male|8247 Medical Plaza Dr|PA City|PA|12341|32.227754|-118.307037|(252) 812-1729|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00056|1000000056|individual||Lucas||Flores||PA-C|Psychiatry|male|2225 Medical Plaza Dr|NY City|NY|36761|36.693886|-106.420608|(334) 839-1069|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00057|1000000057|individual|Dr.|Ethan|Ella|Harris||MD|Cardiology|male|8975 Medical Plaza Dr|VA City|VA|20266|43.273894|-98.643703|(647) 822-4482|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00058|1000000058|individual|Dr.|Logan||Martin||DO|Oncology|male|6687 Medical Plaza Dr|NJ City|NJ|62116|40.028153|-100.033396|(654) 740-8445|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00059|1000000059|individual||Grace||Flores||RN|Internal Medicine|female|6551 Medical Plaza Dr|VA City|VA|31634|33.336575|-85.452034|(846) 934-3787|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00060|1000000060|individual||Elizabeth||Flores||APRN|Dermatology|female|4299 Medical Plaza Dr|NY City|NY|40775|41.732118|-113.319515|(918) 539-2660|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00061|1000000061|individual||Amelia|Olivia|Thompson||NP|Oncology|female|3793 Medical Plaza Dr|PA City|PA|54569|27.929909|-93.723645|(425) 409-3523|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00062|1000000062|individual||William|Emma|Miller||RN|Pediatrics|male|4734 Medical Plaza Dr|PA City|PA|43154|47.249786|-76.513295|(379) 399-5866|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00063|1000000063|individual||Michael|Elizabeth|Brown||NP|Pediatrics|male|5899 Medical Plaza Dr|WA City|WA|63563|26.762355|-80.979614|(265) 360-3767|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00064|1000000064|individual||Ella|Jacob|Gonzalez||PA-C|Urgent Care|female|9509 Medical Plaza Dr|NJ City|NJ|24465|40.826601|-103.609795|(211) 921-5346|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00065|1000000065|individual||Evelyn||Allen||NP|Internal Medicine|female|2970 Medical Plaza Dr|MI City|MI|73459|28.910013|-120.535107|(922) 859-5683|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00066|1000000066|individual||Sebastian|Henry|Martinez||NP|Internal Medicine|male|5987 Medical Plaza Dr|WA City|WA|93803|43.337104|-74.379539|(546) 270-1157|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00067|1000000067|individual||Lucas|Logan|Torres||APRN|Cardiology|male|4574 Medical Plaza Dr|GA City|GA|34719|35.193584|-69.364642|(707) 874-7847|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
